Question,Answer
Can you tell me if you have any rooms available,"Yes, of course We have a few different room types for you to choose from Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, and Diversified Smart Film Room All of our rooms have air conditioning, a washing machine, a hair dryer, a television, and an electric kettle"
"Okay, that all sounds good Can you tell me the prices","Sure A Comfort Standard Room would be 108rmb, Comfort Single Room would be 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, and Diversified Smart Film Room is 400rmb"
"Great, I think Ill take the Comfort Standard Room",Great I can take your payment information now to secure your room if youd like
Sure What other amenities do you offer,"In addition to the amenities in the room, we also offer free parking near the hotel We also have a gym available to guests, and complimentary WiFi with the password being the room number Breakfast is served between 930 am and 1030 am and there are several local amenities such as a supermarket, cinema, and market nearby"
Sounds perfect What are the checkin and checkout times,Sure Checkin is at 300 pm and checkout is at 1200 pm Our front desk phone number is 1234567789 Is there anything else I can help you with
"No, I think Im good Thanks for your help",Your welcome We look forward to welcoming you to Lihao Hotel Have a great day
"Hello, Im interested in booking a room at the Lihao Hotel and I would like to know more about it","Hi there, thank you for considering the Lihao Hotel for your stay We are located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of room options ranging from Comfort Standard Rooms to Leisure Duplex Chess Rooms Our room prices vary from 108 RMB to 400 RMB per night"
"That sounds great Do you offer any amenities such as WiFi, breakfast, exercise facilities, or AC","Yes, we do provide all of these amenities WiFi is available and the password would be your room number Breakfast is served everyday from 930 am to 1030 am We also have a gym available for guests Air conditioners and hair dryers, washing machines, electric kettle, and televisions are also provided in the rooms"
What about free parking,We do provide free parking near the hotel It is available for all our guests to use
What are the checkin and checkout times,Our checkin time is at 300 pm and checkout time is at 1200 pm
Do you have any discounts available,"Yes, we do offer discounts for our guests Please refer to our website for more information"
Great Is there a telephone number I can call if I have any more questions,Definitely Our front desk telephone number is 1234567789 Please feel free to call us if you need any help or have any additional inquiries
"Hello,  Im interested in making a reservation at the Lihao Hotel",Hi Glad to hear that Youve come to the right place My name is X and Im a hotel agent here at Lihao Hotel How can I be of assistance to you
"Yes, I would like to make reservations for next weekend","Okay, let me check the availability For which dates do you prefer to book your stay"
"From Friday to Sunday, please","Lets see what I can arrange for you We have several room types available They are Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, and Diversified Smart Film Rom 400rmb Which room would you like to book"
I think I would like to book the Executive Business Standard King Room,"Sounds great The Executive Business Standard King Room is 128rmb Breakfast is available and free of charge between 930 am to 1030 am We also provide air conditioning, washing machine, hair dryer, television, electric kettle, and free WiFi access, with the password being the room number Besides, there is a gym available for guests and free parking near the hotel Are there any other amenities you would like to know"
"Yes, Im a little curious about the surroundings Im wondering if there is a supermarket, cinema, or market nearby","Good question Yes there are There is a supermarket, cinema, and market nearby Its about 5 minutes away from our hotel If you have any more questions, Ill be happy to answer them"
I think thats it The room I will like to book is the Executive Business Standard King Room,Perfect I can confirm your reservation for the Executive Business Standard King Room from Friday to Sunday The total cost of the room is 128rmb Are there any other rooms you would like to book
"No, thats it",Okay Thats all settled then Please make sure to check in by 300 pm and check out before 1200 pm Is there anything else I can do for you
Thats all Thank you for your help,Youre very welcome Im glad to be of help Have a pleasant stay in Lihao Hotel
"Hello, this is Name, I would like to make a reservation for a room at Lihao Hotel","Hi, Name Welcome to Lihao Hotel How many nights and how many people will be staying"
Ill need the room for three nights and two people,"Ok, no problem We have a variety of rooms available for you to choose from Depending on your budget, we have Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, Diversified Smart Film Rooms, and we also offer discounts for longer stays"
